net,length_um
_12230_,424.85
_03444_,424.2
_04457_,424.2
_03408_,424.13
_02826_,424.12
_05582_,423.53
_08288_,423.45
_03633_,423.35
clknet_5_10__leaf_clk,422.76
_12245_,422.09
_08854_,421.905
RAM1.mem\[201\]\[0\],421.62
_08377_,421
_11470_,419.98
net53,419.73
_08625_,419.59
_05573_,419.34
_09660_,418.02
_03351_,417.91
_03424_,415.12
RAM1.mem\[3\]\[1\],414.92
net39,414.48
net65,414.38
_08335_,413.62
clknet_5_20__leaf_clk,412.77
clknet_5_9__leaf_clk,411.6
_03429_,411.24
_05530_,411.14
_08270_,410.66
_08378_,408.32
_08371_,408.18
_02850_,407.86
_03679_,407.62
clknet_5_25__leaf_clk,407.58
_03636_,407.555
_02481_,407.47
_12259_,406.95
_03317_,406.78
_06239_,406.665
_03571_,406.13
net62,404.48
_06222_,403.74
_03597_,403.41
_12457_,402.96
_04264_,402.3
_08350_,402.2
_06140_,402.12
_03278_,402.06
_03526_,400.46
_06430_,400.24
net67,399.42
_03562_,399.04
_03425_,398.74
_09513_,398.05
clknet_5_23__leaf_clk,397.96
clknet_5_19__leaf_clk,396.81
_06412_,395.74
_08862_,395.28
net64,393.69
clknet_5_4__leaf_clk,392.9
_03716_,392.515
_05174_,392.4
_06134_,392.36
_08356_,391.64
_03707_,391.63
_06146_,391.38
_09457_,391.07
_09379_,390.16
_03654_,390.05
_08685_,389.95
_08574_,389.68
_08402_,389.42
_09061_,388.975
_03270_,388.9
_06143_,388.34
_06123_,388.14
_03304_,387.3
net48,387.13
_08349_,387.06
_12255_,386.97
_05579_,386.78
_11839_,386.49
_06131_,385.65
_03651_,384.615
_05055_,384.52
_03447_,383.89
_08577_,383.76
_06219_,383.215
_03361_,383.02
net15,382.79
_03418_,381.7
_12505_,381.45
_03467_,381.05
_09055_,381.01
_06421_,380.12
_08848_,378.94
_12511_,377.88
clknet_5_15__leaf_clk,377.64
_05570_,377.46
net58,376.96
_05565_,376.8
_09802_,376.16
_12590_,375.82
_03274_,375.485
RAM1.mem\[3\]\[0\],374.61
_09381_,374.4
RAM1.mem\[3\]\[4\],374.2
_09048_,374.19
_09905_,373.84
_06415_,373.22
_06225_,372.79
_08283_,372.4
net80,371.4
_08127_,370.96
_03674_,370.85
_08633_,370.38
_06418_,368.885
clknet_5_14__leaf_clk,368.76
_12499_,368.42
_05527_,367.82
clknet_5_3__leaf_clk,367.5
_02335_,366.82
_12584_,364.83
_08393_,364.11
_10837_,362.67
_03813_,362.62
_06228_,361.52
_10283_,361.36
_03508_,361.2
_09682_,360.4
_08123_,359.85
_02829_,359.79
_12508_,359.52
clknet_5_30__leaf_clk,358.34
_12075_,358.14
_02846_,358.05
_06183_,357.68
_04450_,357.43
_05350_,357.34
_03649_,357.22
net68,356.9
_08904_,356.22
_11050_,356.14
_03782_,354.52
_03740_,353.29
_11612_,352.96
_08342_,351.92
_06489_,351.24
net77,350.83
_09129_,350.76
_08565_,350.2
_04680_,350.13
_05585_,349.5
_04468_,348.5
_09052_,348.34
_09512_,348.09
_08564_,347.84
_03605_,347.02
_12805_,346.5
_03711_,346.32
_03319_,346.12
_08124_,346.06
_09456_,345.955
_08816_,345.7
_09070_,345.34
net63,345.34
_06480_,345.08
_12578_,344.56
_03689_,344.33
_04147_,343.7
_08523_,343.51
_05588_,343.4
_09594_,342.13
_03551_,341.925
_08567_,341.28
_04737_,341.21
_08485_,340.98
_08148_,340.46
_10912_,340.1
_12514_,339.5
_06128_,339.2
_12081_,338.9
_12596_,338.82
_12813_,337.4
_06477_,336.855
_03204_,336.16
_09455_,336.06
_08363_,335.74
net72,335.51
_06216_,334.58
_08708_,334.4
_05305_,334.06
net79,333.61
_09058_,333.48
_08138_,333.26
_04538_,332.93
_04688_,332.58
_08496_,332.38
_02830_,332.12
_09382_,332.12
_06174_,331.64
_08147_,331.38
net55,330.4
clknet_5_5__leaf_clk,330.23
_09860_,328.74
_03564_,328.695
_03451_,328.12
_02635_,327.73
net14,325.83
_03536_,324.97
clknet_5_8__leaf_clk,324.61
_06180_,324.35
_11946_,323.92
_10330_,322.58
_09579_,320.86
_05576_,320.52
_05317_,320.3
net78,319.34
_03708_,318.86
_10479_,318.82
_08151_,318.4
_05232_,317.49
_12124_,317.12
_08264_,316.72
_02657_,315.95
_06486_,315.92
_05311_,315.91
_03486_,315.36
_03488_,314.41
_12593_,314.34
_02329_,314.3
_02338_,314.24
_04763_,313.68
_09670_,313.08
_03386_,312.56
_10390_,312.44
_04704_,312.24
clknet_5_7__leaf_clk,311.99
_03839_,310.1
_06315_,309.66
_06280_,309.1
_03667_,308.23
_08401_,307.78
_05445_,307.18
_11474_,306.82
_09067_,305.74
_12078_,305.44
_12241_,305.34
_03663_,305.23
_08394_,305.23
_05112_,305.14
_09865_,304.76
RAM1.mem\[202\]\[2\],304.18
_06237_,304.1
clknet_5_31__leaf_clk,304.02
_03642_,303.85
_10733_,303.75
_12581_,303.48
CPU1.reg_a_out\[1\],303.32
CPU1.reg_a_out\[7\],303.2
_04359_,302.34
_06189_,302.18
_08479_,300.77
_02341_,300.42
_06469_,300.3
_08292_,299.615
clknet_5_13__leaf_clk,299.5
_04207_,299.14
_04847_,298.7
clknet_5_12__leaf_clk,298.16
_12803_,297.88
_12599_,297.66
_10834_,296.81
RAM1.mem\[201\]\[5\],295.96
clknet_5_6__leaf_clk,294.56
_04492_,294.31
_12494_,293.74
_12439_,293.33
_10301_,292.98
_03604_,292.92
_03384_,292.73
_12810_,292.525
_12587_,292.32
_04892_,292.22
_11648_,292.12
_04717_,291.79
RAM1.mem\[255\]\[6\],290.84
_11895_,290.68
_09526_,289.52
_04211_,289.46
_03644_,289.42
_03960_,289.36
_03999_,288.98
_10771_,288.62
_04783_,288.22
clknet_5_11__leaf_clk,288
_03995_,287.7
_04843_,287.56
_09750_,287.17
RAM1.mem\[180\]\[0\],287.09
_03335_,287.06
_03436_,286.965
RAM1.mem\[6\]\[6\],286.56
_11333_,286.48
_05320_,285.72
_03914_,285.68
RAM1.mem\[201\]\[3\],285.46
_09189_,285.32
clknet_5_1__leaf_clk,285.06
RAM1.mem\[5\]\[7\],285
_05314_,284.96
_12084_,284.74
_11086_,284.7
_12069_,284.02
RAM1.mem\[181\]\[0\],283.73
_03441_,283.64
RAM1.mem\[6\]\[7\],283.4
RAM1.mem\[201\]\[2\],282.94
_05405_,282.36
_12061_,281.645
_03466_,281.425
_06234_,281.41
_03291_,281.28
_03454_,281.24
_03485_,281.22
_04962_,281.08
_04326_,280.94
_08634_,280.72
_12226_,280.575
_08189_,279.48
_05128_,279.42
_04571_,279.16
_03983_,278.68
_10191_,278.4
_05175_,277.88
_06427_,277.62
clknet_5_0__leaf_clk,277.4
_12819_,277.22
_05308_,277.1
_03500_,276.845
_03461_,275.7
_06483_,275.155
_10900_,274.76
RAM1.mem\[6\]\[2\],274.58
_04900_,274.58
